thread,model,option,file,graph_id,node_id,node_name,predicted_ra_component_id,predicted_ra_component_name,node_score,check_constraints_log,avg_prompt_cost,total_llm_cost
2,chatgpt,2,mapping_An_AADL_Model_of_Smart_Home_System_Clients_Clients_impl_1_aaxl2.json,An-AADL-Model-of-Smart-Home-System_Clients_Clients_impl_1.aaxl2,comp_system,SYSTEM,comp.device,Device,0.0,,844.524804,6756
2,chatgpt,2,mapping_An_AADL_Model_of_Smart_Home_System_Clients_Clients_impl_1_aaxl2.json,An-AADL-Model-of-Smart-Home-System_Clients_Clients_impl_1.aaxl2,comp_client_control_unit,CLIENT_CONTROL_UNIT,comp.application,Application,1.0,,844.524804,6756
2,chatgpt,2,mapping_An_AADL_Model_of_Smart_Home_System_MainControlRouter_MainControlRouter_impl_1_aaxl2.json,An-AADL-Model-of-Smart-Home-System_MainControlRouter_MainControlRouter_impl_1.aaxl2,comp_system,SYSTEM,comp.device,Device,0.0,,854.602304,17092
2,chatgpt,2,mapping_An_AADL_Model_of_Smart_Home_System_MainControlRouter_MainControlRouter_impl_1_aaxl2.json,An-AADL-Model-of-Smart-Home-System_MainControlRouter_MainControlRouter_impl_1.aaxl2,comp_zigbee_device_controller,ZIGBEE_DEVICE_CONTROLLER,comp.device,Device,1.0,,854.602304,17092
2,chatgpt,2,mapping_An_AADL_Model_of_Smart_Home_System_MainControlRouter_MainControlRouter_impl_1_aaxl2.json,An-AADL-Model-of-Smart-Home-System_MainControlRouter_MainControlRouter_impl_1.aaxl2,comp_ip_device_controller,IP_DEVICE_CONTROLLER,comp.driver,Driver,0.0,,854.602304,17092
2,chatgpt,2,mapping_An_AADL_Model_of_Smart_Home_System_MainControlRouter_MainControlRouter_impl_1_aaxl2.json,An-AADL-Model-of-Smart-Home-System_MainControlRouter_MainControlRouter_impl_1.aaxl2,comp_remote_msg_control,REMOTE_MSG_CONTROL,comp.gateway,Gateway,0.0,,854.602304,17092
2,chatgpt,2,mapping_An_AADL_Model_of_Smart_Home_System_MainControlRouter_MainControlRouter_impl_1_aaxl2.json,An-AADL-Model-of-Smart-Home-System_MainControlRouter_MainControlRouter_impl_1.aaxl2,comp_main_controller,MAIN_CONTROLLER,comp.iotim,IoTIM,1.0,,854.602304,17092
2,chatgpt,2,mapping_An_AADL_Model_of_Smart_Home_System_RemoteServer_RemoteServer_impl_1_aaxl2.json,An-AADL-Model-of-Smart-Home-System_RemoteServer_RemoteServer_impl_1.aaxl2,comp_system,SYSTEM,comp.application,Application,1.0,,841.019789,10092
2,chatgpt,2,mapping_An_AADL_Model_of_Smart_Home_System_RemoteServer_RemoteServer_impl_1_aaxl2.json,An-AADL-Model-of-Smart-Home-System_RemoteServer_RemoteServer_impl_1.aaxl2,comp_client_controller,CLIENT_CONTROLLER,comp.application,Application,1.0,,841.019789,10092
2,chatgpt,2,mapping_An_AADL_Model_of_Smart_Home_System_RemoteServer_RemoteServer_impl_1_aaxl2.json,An-AADL-Model-of-Smart-Home-System_RemoteServer_RemoteServer_impl_1.aaxl2,comp_router_controller,ROUTER_CONTROLLER,comp.gateway,Gateway,1.0,,841.019789,10092
2,chatgpt,2,mapping_An_AADL_Model_of_Smart_Home_System_smart_home_system_smart_home_impl_1_aaxl2.json,An-AADL-Model-of-Smart-Home-System_smart_home_system_smart_home_impl_1.aaxl2,comp_zigbee_devices,ZIGBEE_DEVICES,comp.device,Device,1.0,,851.505992,40872
2,chatgpt,2,mapping_An_AADL_Model_of_Smart_Home_System_smart_home_system_smart_home_impl_1_aaxl2.json,An-AADL-Model-of-Smart-Home-System_smart_home_system_smart_home_impl_1.aaxl2,comp_ip_devices,IP_DEVICES,comp.device,Device,1.0,,851.505992,40872
2,chatgpt,2,mapping_An_AADL_Model_of_Smart_Home_System_smart_home_system_smart_home_impl_1_aaxl2.json,An-AADL-Model-of-Smart-Home-System_smart_home_system_smart_home_impl_1.aaxl2,comp_main_control_router,MAIN_CONTROL_ROUTER,comp.gateway,Gateway,1.0,,851.505992,40872
2,chatgpt,2,mapping_An_AADL_Model_of_Smart_Home_System_smart_home_system_smart_home_impl_1_aaxl2.json,An-AADL-Model-of-Smart-Home-System_smart_home_system_smart_home_impl_1.aaxl2,comp_zigbee_device_controller,ZIGBEE_DEVICE_CONTROLLER,comp.device,Device,1.0,,851.505992,40872
2,chatgpt,2,mapping_An_AADL_Model_of_Smart_Home_System_smart_home_system_smart_home_impl_1_aaxl2.json,An-AADL-Model-of-Smart-Home-System_smart_home_system_smart_home_impl_1.aaxl2,comp_ip_device_controller,IP_DEVICE_CONTROLLER,comp.gateway,Gateway,1.0,,851.505992,40872
2,chatgpt,2,mapping_An_AADL_Model_of_Smart_Home_System_smart_home_system_smart_home_impl_1_aaxl2.json,An-AADL-Model-of-Smart-Home-System_smart_home_system_smart_home_impl_1.aaxl2,comp_remote_msg_control,REMOTE_MSG_CONTROL,comp.gateway,Gateway,0.0,,851.505992,40872
2,chatgpt,2,mapping_An_AADL_Model_of_Smart_Home_System_smart_home_system_smart_home_impl_1_aaxl2.json,An-AADL-Model-of-Smart-Home-System_smart_home_system_smart_home_impl_1.aaxl2,comp_main_controller,MAIN_CONTROLLER,comp.iotim,IoTIM,1.0,,851.505992,40872
2,chatgpt,2,mapping_An_AADL_Model_of_Smart_Home_System_smart_home_system_smart_home_impl_1_aaxl2.json,An-AADL-Model-of-Smart-Home-System_smart_home_system_smart_home_impl_1.aaxl2,comp_remote_server,REMOTE_SERVER,comp.gateway,Gateway,0.0,,851.505992,40872
2,chatgpt,2,mapping_An_AADL_Model_of_Smart_Home_System_smart_home_system_smart_home_impl_1_aaxl2.json,An-AADL-Model-of-Smart-Home-System_smart_home_system_smart_home_impl_1.aaxl2,comp_client_controller,CLIENT_CONTROLLER,comp.application,Application,1.0,,851.505992,40872
2,chatgpt,2,mapping_An_AADL_Model_of_Smart_Home_System_smart_home_system_smart_home_impl_1_aaxl2.json,An-AADL-Model-of-Smart-Home-System_smart_home_system_smart_home_impl_1.aaxl2,comp_router_controller,ROUTER_CONTROLLER,comp.gateway,Gateway,1.0,,851.505992,40872
2,chatgpt,2,mapping_An_AADL_Model_of_Smart_Home_System_smart_home_system_smart_home_impl_1_aaxl2.json,An-AADL-Model-of-Smart-Home-System_smart_home_system_smart_home_impl_1.aaxl2,comp_clients,CLIENTS,comp.application,Application,1.0,,851.505992,40872
2,chatgpt,2,mapping_An_AADL_Model_of_Smart_Home_System_smart_home_system_smart_home_impl_1_aaxl2.json,An-AADL-Model-of-Smart-Home-System_smart_home_system_smart_home_impl_1.aaxl2,comp_client_control_unit,CLIENT_CONTROL_UNIT,comp.application,Application,1.0,,851.505992,40872
2,chatgpt,2,mapping_DHsystem_Accounts_DHaccounts_impl_1_aaxl2.json,DHsystem_Accounts_DHaccounts_impl_1.aaxl2,comp_system,SYSTEM,comp.application,Application,1.0,,837.506818,13400
2,chatgpt,2,mapping_DHsystem_Accounts_DHaccounts_impl_1_aaxl2.json,DHsystem_Accounts_DHaccounts_impl_1.aaxl2,comp_authentication,Authentication,comp.application,Application,1.0,,837.506818,13400
2,chatgpt,2,mapping_DHsystem_Accounts_DHaccounts_impl_1_aaxl2.json,DHsystem_Accounts_DHaccounts_impl_1.aaxl2,comp_account_settings,AccountSettings,comp.application,Application,1.0,,837.506818,13400
2,chatgpt,2,mapping_DHsystem_Accounts_DHaccounts_impl_1_aaxl2.json,DHsystem_Accounts_DHaccounts_impl_1.aaxl2,comp_access_control,AccessControl,comp.application,Application,1.0,,837.506818,13400
