graph_id,node_id,node_name,node_category,node_text,predicted_ra_id,predicted_ra_name,predicted_score,ground_truth_ra_names,correct,top_k_matches
An-AADL-Model-of-Smart-Home-System_Clients_Clients_impl_1.aaxl2,comp_system,SYSTEM,system,system category system ports in clients mcr out clients mcr in clients rs out clients rs,comp.application,Application,0.0,Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|Application|Application|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM,1,"[{""ra_id"": ""comp.application"", ""ra_name"": ""Application"", ""score"": 0.0}]"
An-AADL-Model-of-Smart-Home-System_Clients_Clients_impl_1.aaxl2,comp_client_control_unit,CLIENT_CONTROL_UNIT,process,client control unit category process classifier github an-aadl-model-of-smart-home-system plugin resources the smart home system clients aadl clients clients control unit ports ccu data receiver ccu data sender,comp.driver,Driver,0.051097039256459864,Application|Application|Application|Application,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.051097039256459864}]"
An-AADL-Model-of-Smart-Home-System_MainControlRouter_MainControlRouter_impl_1.aaxl2,comp_system,SYSTEM,system,system category system ports temperature in smoke status out in mcr remote out mcr remote in mcr zd out mcr zd in mcr ipd out mcr ipd,comp.application,Application,0.0,Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|Application|Application|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM,1,"[{""ra_id"": ""comp.application"", ""ra_name"": ""Application"", ""score"": 0.0}]"
An-AADL-Model-of-Smart-Home-System_MainControlRouter_MainControlRouter_impl_1.aaxl2,comp_zigbee_device_controller,ZIGBEE_DEVICE_CONTROLLER,process,zigbee device controller category process classifier github an-aadl-model-of-smart-home-system plugin resources the smart home system main control router aadl main control router zigbee device controller ports dev data receiver dev data sender ctr data receiver ctr data sender,comp.driver,Driver,0.07612010368212177,Device|Gateway|Device|Gateway|Gateway|Device|Gateway,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.07612010368212177}]"
An-AADL-Model-of-Smart-Home-System_MainControlRouter_MainControlRouter_impl_1.aaxl2,comp_ip_device_controller,IP_DEVICE_CONTROLLER,process,ip device controller category process classifier github an-aadl-model-of-smart-home-system plugin resources the smart home system main control router aadl main control router ip device controller ports dev data receiver dev data sender ctr data receiver ctr data sender,comp.driver,Driver,0.07612010368212177,Gateway|Device|Gateway|Device|Gateway|Application|Device,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.07612010368212177}]"
An-AADL-Model-of-Smart-Home-System_MainControlRouter_MainControlRouter_impl_1.aaxl2,comp_remote_msg_control,REMOTE_MSG_CONTROL,process,remote msg control category process classifier github an-aadl-model-of-smart-home-system plugin resources the smart home system main control router aadl main control router remote msg control ports app data receiver app data sender ctr data receiver ctr data sender,comp.driver,Driver,0.07076472961434334,Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.07076472961434334}]"
An-AADL-Model-of-Smart-Home-System_MainControlRouter_MainControlRouter_impl_1.aaxl2,comp_main_controller,MAIN_CONTROLLER,process,main controller category process classifier github an-aadl-model-of-smart-home-system plugin resources the smart home system main control router aadl main control router main controller ports zdc data receiver zdc data sender ipdc data receiver ipdc data sender remote data receiver remote data sender,comp.driver,Driver,0.05542171807893342,Gateway|Gateway|IoTIM|Application|IoTIM,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.05542171807893342}]"
An-AADL-Model-of-Smart-Home-System_RemoteServer_RemoteServer_impl_1.aaxl2,comp_system,SYSTEM,system,system category system ports in rs mcr out rs mcr in rs clients out rs clients,comp.application,Application,0.0,Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|Application|Application|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM,1,"[{""ra_id"": ""comp.application"", ""ra_name"": ""Application"", ""score"": 0.0}]"
An-AADL-Model-of-Smart-Home-System_RemoteServer_RemoteServer_impl_1.aaxl2,comp_client_controller,CLIENT_CONTROLLER,process,client controller category process classifier github an-aadl-model-of-smart-home-system plugin resources the smart home system remote server aadl remote server client controller ports cc data receiver cc data sender,comp.driver,Driver,0.026147349530650107,Application|Application|Application|Application,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.026147349530650107}]"
An-AADL-Model-of-Smart-Home-System_RemoteServer_RemoteServer_impl_1.aaxl2,comp_router_controller,ROUTER_CONTROLLER,process,router controller category process classifier github an-aadl-model-of-smart-home-system plugin resources the smart home system remote server aadl remote server router controller ports rc data receiver rc data sender,comp.driver,Driver,0.026147349530650107,Gateway|Device|Gateway|Device|Gateway|Device|Gateway,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.026147349530650107}]"
An-AADL-Model-of-Smart-Home-System_smart_home_system_smart_home_impl_1.aaxl2,comp_zigbee_devices,ZIGBEE_DEVICES,device,zigbee devices category device classifier github an-aadl-model-of-smart-home-system plugin resources the smart home system zigbee devices aadl zigbee devices zigbee devices impl ports sensing out zd mcr,comp.iotim,IoTIM,0.07071450742389643,Device|Device,0,"[{""ra_id"": ""comp.iotim"", ""ra_name"": ""IoTIM"", ""score"": 0.07071450742389643}]"
An-AADL-Model-of-Smart-Home-System_smart_home_system_smart_home_impl_1.aaxl2,comp_ip_devices,IP_DEVICES,device,ip devices category device classifier github an-aadl-model-of-smart-home-system plugin resources the smart home system ipdevices aadl ipdevices ipdevices impl ports in ipd mcr out ipd mcr,comp.driver,Driver,0.02868547141320425,Device|Device|Sensor,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.02868547141320425}]"
An-AADL-Model-of-Smart-Home-System_smart_home_system_smart_home_impl_1.aaxl2,comp_main_control_router,MAIN_CONTROL_ROUTER,system,main control router category system classifier github an-aadl-model-of-smart-home-system plugin resources the smart home system main control router aadl main control router main control router impl ports temperature in smoke status out in mcr remote out mcr remote in mcr zd out mcr zd in mcr ipd out mcr ipd,comp.driver,Driver,0.03922009708746559,Gateway|Gateway,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.03922009708746559}]"
An-AADL-Model-of-Smart-Home-System_smart_home_system_smart_home_impl_1.aaxl2,comp_zigbee_device_controller,ZIGBEE_DEVICE_CONTROLLER,process,zigbee device controller category process classifier github an-aadl-model-of-smart-home-system plugin resources the smart home system main control router aadl main control router zigbee device controller ports dev data receiver dev data sender ctr data receiver ctr data sender,comp.driver,Driver,0.07612010368212177,Device|Gateway|Device|Gateway|Gateway|Device|Gateway,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.07612010368212177}]"
An-AADL-Model-of-Smart-Home-System_smart_home_system_smart_home_impl_1.aaxl2,comp_ip_device_controller,IP_DEVICE_CONTROLLER,process,ip device controller category process classifier github an-aadl-model-of-smart-home-system plugin resources the smart home system main control router aadl main control router ip device controller ports dev data receiver dev data sender ctr data receiver ctr data sender,comp.driver,Driver,0.07612010368212177,Gateway|Device|Gateway|Device|Gateway|Application|Device,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.07612010368212177}]"
An-AADL-Model-of-Smart-Home-System_smart_home_system_smart_home_impl_1.aaxl2,comp_remote_msg_control,REMOTE_MSG_CONTROL,process,remote msg control category process classifier github an-aadl-model-of-smart-home-system plugin resources the smart home system main control router aadl main control router remote msg control ports app data receiver app data sender ctr data receiver ctr data sender,comp.driver,Driver,0.07076472961434334,Application|IoTIM|Application|IoTIM|Application|IoTIM|Application|IoTIM,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.07076472961434334}]"
An-AADL-Model-of-Smart-Home-System_smart_home_system_smart_home_impl_1.aaxl2,comp_main_controller,MAIN_CONTROLLER,process,main controller category process classifier github an-aadl-model-of-smart-home-system plugin resources the smart home system main control router aadl main control router main controller ports zdc data receiver zdc data sender ipdc data receiver ipdc data sender remote data receiver remote data sender,comp.driver,Driver,0.05542171807893342,Gateway|Gateway|IoTIM|Application|IoTIM,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.05542171807893342}]"
An-AADL-Model-of-Smart-Home-System_smart_home_system_smart_home_impl_1.aaxl2,comp_remote_server,REMOTE_SERVER,system,remote server category system classifier github an-aadl-model-of-smart-home-system plugin resources the smart home system remote server aadl remote server remote server impl ports in rs mcr out rs mcr in rs clients out rs clients,comp.driver,Driver,0.009646822603034124,Application|Application|IoTIM,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.009646822603034124}]"
An-AADL-Model-of-Smart-Home-System_smart_home_system_smart_home_impl_1.aaxl2,comp_client_controller,CLIENT_CONTROLLER,process,client controller category process classifier github an-aadl-model-of-smart-home-system plugin resources the smart home system remote server aadl remote server client controller ports cc data receiver cc data sender,comp.driver,Driver,0.026147349530650107,Application|Application|Application|Application,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.026147349530650107}]"
An-AADL-Model-of-Smart-Home-System_smart_home_system_smart_home_impl_1.aaxl2,comp_router_controller,ROUTER_CONTROLLER,process,router controller category process classifier github an-aadl-model-of-smart-home-system plugin resources the smart home system remote server aadl remote server router controller ports rc data receiver rc data sender,comp.driver,Driver,0.026147349530650107,Gateway|Device|Gateway|Device|Gateway|Device|Gateway,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.026147349530650107}]"
An-AADL-Model-of-Smart-Home-System_smart_home_system_smart_home_impl_1.aaxl2,comp_clients,CLIENTS,system,clients category system classifier github an-aadl-model-of-smart-home-system plugin resources the smart home system clients aadl clients clients impl ports in clients mcr out clients mcr in clients rs out clients rs,comp.driver,Driver,0.00964682260303412,Application|Application,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.00964682260303412}]"
An-AADL-Model-of-Smart-Home-System_smart_home_system_smart_home_impl_1.aaxl2,comp_client_control_unit,CLIENT_CONTROL_UNIT,process,client control unit category process classifier github an-aadl-model-of-smart-home-system plugin resources the smart home system clients aadl clients clients control unit ports ccu data receiver ccu data sender,comp.driver,Driver,0.051097039256459864,Application|Application|Application|Application,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.051097039256459864}]"
DHsystem_Accounts_DHaccounts_impl_1.aaxl2,comp_system,SYSTEM,system,system category system ports web acc br acc config acc,comp.application,Application,0.0,Application|IoTIM,1,"[{""ra_id"": ""comp.application"", ""ra_name"": ""Application"", ""score"": 0.0}]"
DHsystem_Accounts_DHaccounts_impl_1.aaxl2,comp_authentication,Authentication,device,authentication category device classifier github dhsystem accounts aadl accounts authentication ports web out au br out au au,comp.driver,Driver,0.019445667706836617,Application|IoTIM,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.019445667706836617}]"
DHsystem_Accounts_DHaccounts_impl_1.aaxl2,comp_account_settings,AccountSettings,device,account settings category device classifier github dhsystem accounts aadl accounts account settings ports au as ac as,comp.driver,Driver,0.02048621070961357,Application|IoTIM,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.02048621070961357}]"
DHsystem_Accounts_DHaccounts_impl_1.aaxl2,comp_access_control,AccessControl,device,access control category device classifier github dhsystem accounts aadl accounts access control ports config ac ac,comp.driver,Driver,0.09072172496046504,Application|Gateway,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.09072172496046504}]"
DHsystem_Communications_DHcommunications_impl_1.aaxl2,comp_system,SYSTEM,system,system category system ports comm device pm comm config comm,comp.driver,Driver,0.02736450613852847,Application|IoTIM,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.02736450613852847}]"
DHsystem_Communications_DHcommunications_impl_1.aaxl2,comp_acquisitor,Acquisitor,device,acquisitor category device classifier github dhsystem communications aadl communications acquisitor ports cm aq,comp.driver,Driver,0.02319261393809866,Driver|Sensor,1,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.02319261393809866}]"
DHsystem_Communications_DHcommunications_impl_1.aaxl2,comp_communication_manager,CommunicationManager,device,communication manager category device classifier github dhsystem communications aadl communications communication manager ports config cm pm out cm cm aq cm gateway,comp.gateway,Gateway,0.07540964791904327,IoTIM,0,"[{""ra_id"": ""comp.gateway"", ""ra_name"": ""Gateway"", ""score"": 0.07540964791904327}]"
DHsystem_Communications_DHcommunications_impl_1.aaxl2,comp_dhgateway,DHgateway,system,dhgateway category system classifier github dhsystem communications aadl communications dhgateway impl ports cm gateway gateway device,comp.gateway,Gateway,0.03954031892087127,Gateway,1,"[{""ra_id"": ""comp.gateway"", ""ra_name"": ""Gateway"", ""score"": 0.03954031892087127}]"
DHsystem_Communications_DHcommunications_impl_1.aaxl2,comp_temp_controller,tempController,device,temp controller category device classifier github dhsystem communications aadl communications temp controller,comp.driver,Driver,0.022416773940902888,Actuator|Device,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.022416773940902888}]"
DHsystem_Communications_DHcommunications_impl_1.aaxl2,comp_hum_controller,humController,device,hum controller category device classifier github dhsystem communications aadl communications hum controller,comp.driver,Driver,0.022416773940902888,Actuator|Device,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.022416773940902888}]"
DHsystem_Communications_DHcommunications_impl_1.aaxl2,comp_power_controller,powerController,device,power controller category device classifier github dhsystem communications aadl communications power controller,comp.driver,Driver,0.022416773940902888,Actuator|Device,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.022416773940902888}]"
DHsystem_Communications_DHcommunications_impl_1.aaxl2,comp_appl_controller,applController,device,appl controller category device classifier github dhsystem communications aadl communications appl controller,comp.driver,Driver,0.022416773940902888,Application,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.022416773940902888}]"
DHsystem_Communications_DHcommunications_impl_1.aaxl2,comp_sec_controller,secController,device,sec controller category device classifier github dhsystem communications aadl communications sec controller,comp.driver,Driver,0.022416773940902888,Application|Device,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.022416773940902888}]"
DHsystem_Communications_DHgateway_impl_1.aaxl2,comp_system,SYSTEM,system,system category system ports cm gateway gateway device,comp.gateway,Gateway,0.06805371175275919,Application|IoTIM,0,"[{""ra_id"": ""comp.gateway"", ""ra_name"": ""Gateway"", ""score"": 0.06805371175275919}]"
DHsystem_Communications_DHgateway_impl_1.aaxl2,comp_temp_controller,tempController,device,temp controller category device classifier github dhsystem communications aadl communications temp controller,comp.driver,Driver,0.022416773940902888,Actuator|Device,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.022416773940902888}]"
DHsystem_Communications_DHgateway_impl_1.aaxl2,comp_hum_controller,humController,device,hum controller category device classifier github dhsystem communications aadl communications hum controller,comp.driver,Driver,0.022416773940902888,Actuator|Device,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.022416773940902888}]"
DHsystem_Communications_DHgateway_impl_1.aaxl2,comp_power_controller,powerController,device,power controller category device classifier github dhsystem communications aadl communications power controller,comp.driver,Driver,0.022416773940902888,Actuator|Device,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.022416773940902888}]"
DHsystem_Communications_DHgateway_impl_1.aaxl2,comp_appl_controller,applController,device,appl controller category device classifier github dhsystem communications aadl communications appl controller,comp.driver,Driver,0.022416773940902888,Application,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.022416773940902888}]"
DHsystem_Communications_DHgateway_impl_1.aaxl2,comp_sec_controller,secController,device,sec controller category device classifier github dhsystem communications aadl communications sec controller,comp.driver,Driver,0.022416773940902888,Device,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.022416773940902888}]"
DHsystem_Configurations_DHconfig_impl_1.aaxl2,comp_system,SYSTEM,system,system category system ports config acc config cm web config br config pm config,comp.application,Application,0.0,Application|IoTIM,1,"[{""ra_id"": ""comp.application"", ""ra_name"": ""Application"", ""score"": 0.0}]"
DHsystem_Configurations_DHconfig_impl_1.aaxl2,comp_programmable_thermostat,ProgrammableThermostat,device,programmable thermostat category device classifier github dhsystem configurations aadl configurations thermo program ports plan tp cm tp rep tp,comp.driver,Driver,0.018549109038295774,Device,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.018549109038295774}]"
DHsystem_Configurations_DHconfig_impl_1.aaxl2,comp_programmable_appliance_manager,ProgrammableApplianceManager,device,programmable appliance manager category device classifier github dhsystem configurations aadl configurations app program manager ports plan apm cm apm rep apm,comp.driver,Driver,0.017410068073720194,Application,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.017410068073720194}]"
DHsystem_Configurations_DHconfig_impl_1.aaxl2,comp_security_system,SecuritySystem,device,security system category device classifier github dhsystem configurations aadl configurations security system ports plan ss cm ss rep ss,comp.driver,Driver,0.01898152652503779,Application,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.01898152652503779}]"
DHsystem_Configurations_DHconfig_impl_1.aaxl2,comp_programmable_humidistat,ProgrammableHumidistat,device,programmable humidistat category device classifier github dhsystem configurations aadl configurations hum program ports plan hp cm hp rep hp,comp.driver,Driver,0.018549109038295774,Device,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.018549109038295774}]"
DHsystem_Configurations_DHconfig_impl_1.aaxl2,comp_planner,Planner,device,planner category device classifier github dhsystem configurations aadl configurations planner ports plan tp plan apm plan ss plan hp cm plan,comp.driver,Driver,0.015401915321747034,Application|IoTIM,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.015401915321747034}]"
DHsystem_Configurations_DHconfig_impl_1.aaxl2,comp_configuration_manager,ConfigurationManager,device,configuration manager category device classifier github dhsystem configurations aadl configurations comm manager ports cm tp cm plan cm ss cm out cm cm out acc cm hp cm rep cm apm web out cm br out cm pm out cm,comp.driver,Driver,0.00860335003206345,Application,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.00860335003206345}]"
DHsystem_Configurations_DHconfig_impl_1.aaxl2,comp_report,Report,device,report category device classifier github dhsystem configurations aadl configurations report ports rep apm rep tp rep ss rep hp cm rep,comp.driver,Driver,0.015401915321747034,Application,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.015401915321747034}]"
DHsystem_Devices_DHdevices_impl_1.aaxl2,comp_system,SYSTEM,system,system category system ports device se pm device comm device,comp.driver,Driver,0.09382657886425402,Application|IoTIM,0,"[{""ra_id"": ""comp.driver"", ""ra_name"": ""Driver"", ""score"": 0.09382657886425402}]"
DHsystem_Devices_DHdevices_impl_1.aaxl2,comp_device_manager,DeviceManager,system,device manager category system classifier github dhsystem devices aadl devices device manager ports dm hum dm pow dm sec dm thermo dm se out gateway out dm pm out dm,comp.iotim,IoTIM,0.03348676609732983,IoTIM,1,"[{""ra_id"": ""comp.iotim"", ""ra_name"": ""IoTIM"", ""score"": 0.03348676609732983}]"
DHsystem_Devices_DHdevices_impl_1.aaxl2,comp_humidity_devices,HumidityDevices,system,humidity devices category system classifier github dhsystem devices aadl devices humidity impl ports dm hum,comp.iotim,IoTIM,0.08899994780896558,Device,0,"[{""ra_id"": ""comp.iotim"", ""ra_name"": ""IoTIM"", ""score"": 0.08899994780896558}]"
